,growth_factor_fmp,inflation_factor_fmp,real_rates_factor_fmp,credit_factor_fmp,liquidity_factor_fmp,tail_risk_factor_fmp
1970-01-01,0.05866636426417822,-0.03241974309066446,-0.014414573910759785,-0.03863692765829438,0.11446425330431359,0.06664247332582214
1970-01-02,-0.11032182426237166,0.0247701354312702,-0.0233077770792898,0.12216531388952294,-0.2983578162007336,-0.042337351209508434
1970-01-05,-0.11560227308367596,-0.008090769503231655,0.02139422172810925,0.14769034962390737,-0.29017795297406374,0.15764335436839672
1970-01-06,-0.015789150279120825,-0.14880844422383346,0.056958602444576956,0.025582466535563675,0.0613150711816455,0.4866325285183117
1970-01-07,0.04116934818846325,-0.06505115104327079,0.024372530819652308,-0.22490155883343657,0.18834865996431555,-0.1083198890763327
1970-01-08,0.0661181977063281,-0.04412537622261791,-0.05383103991294289,0.00248133992370142,0.11957475587235696,0.08730793795706296
1970-01-09,0.02026837249277427,-0.0070462054607351235,-0.10277137546947676,0.09172138260292348,0.05942500173888513,-0.01838645738080613
1970-01-12,0.11090032932501251,-0.09052869261848023,-0.06374340293543795,-0.0837595930687489,0.31353584996426936,0.07619155797244417
1970-01-13,0.03234248710904564,-0.0034506985351033257,-0.020242120469483232,-0.0053067300592189,0.06831504297375351,0.005365089062031984
1970-01-14,0.02597721368108761,-0.06405155518009199,0.04078790229739423,-0.16221879256527752,0.12002898330042067,-0.0033628079751288203
1970-01-15,0.006127571171402176,-0.034731084678961424,-0.018645972643719907,-0.050820994244305105,0.06226968743817514,-0.033454533767294604
1970-01-16,0.08151763646500582,-0.08317424208115512,-0.009318310777151347,-0.12241055593404249,0.27553655375399444,0.08258793241360532
1970-01-19,0.1955465553190635,-0.0800206454407052,-0.17116763990286846,0.07868817997012534,0.3779904678705285,0.2213211570661474
1970-01-20,-0.013266090170056834,-0.03262088552126148,0.023799623218558733,-0.13261041995222847,0.046910448352447114,-0.10751060853631599
1970-01-21,-0.02141855865040341,0.12499873333987288,0.008828218523499302,0.08421857270599753,-0.11864897012494208,-0.15293919169497427
1970-01-22,-0.021235244193277512,-0.016466283905490743,-0.02080241695232228,0.013689205064877481,-0.01736326649166951,-0.008382747684930122
1970-01-23,0.052567450632831025,-0.08086509790299702,0.0196073414376233,-0.1168577843770147,0.2421577618545538,0.10168149250090942
1970-01-26,0.02666894911583667,-0.03448652551998634,0.02666677586824706,-0.031746142629360985,0.1920981272460417,0.11040389303483664
1970-01-27,0.04840708271371528,-0.05009243125716143,-0.006868388477513117,-0.11160735039971503,0.17326849793167481,-0.025803363550843755
1970-01-28,0.07230702269805754,-0.037471036666018497,0.014644492125201327,-0.10191618567103156,0.19923396950744884,0.0418133369331148
1970-01-29,0.08655238507165405,-0.13987212465086435,0.05560662450013689,-0.22827000009480675,0.389590639975854,0.1725229424862316
1970-01-30,0.22205017823272388,0.3007826399431668,-0.0478838525283516,0.6775070589761358,-0.08116079071237364,0.49986608384377873
1970-02-01,0.0,0.0,0.0,0.0,0.0,0.0
1970-02-02,0.0022576267813310784,0.10307177111987195,-0.10655351135597803,0.24669881102263727,-0.16460081261612278,-0.035901911537439386
1970-02-03,-0.08735170378186191,0.10402500211521033,-0.06892217135983311,0.3097879149724987,-0.37491455130525303,0.026396033453618253
1970-02-04,0.042633012109953114,-0.09827667875179652,-0.0980225691192662,0.11344613450284269,0.07824387589391481,0.2500730164512612
1970-02-05,0.07868485099561562,-0.014739500765973433,-0.05905740284470931,0.13374316439538197,0.09641044332635447,0.24339184698264077
1970-02-06,0.0021510829689950217,0.07231204878257116,-0.08589047935929296,0.16027712495180568,-0.13469932091348144,-0.07057221574305882
1970-02-09,-0.020740274349725148,0.07819777752522981,-0.07186850410095975,0.1659756585116773,-0.23669161097807742,-0.07947342603920635
1970-02-10,0.06136450291850156,-0.10722616819435792,0.035666598145842686,-0.1708228617892091,0.27392003129630627,0.11536973483341609
1970-02-11,0.015755650931713126,0.05814917242144449,0.005891309465212372,-0.03323630835272342,-0.08237008118392881,-0.1431824231324651
1970-02-12,-0.00896953889695682,-0.035714715421857036,-0.00011060759643168137,0.0019436196653358669,0.02160770250456745,0.0771504487870441
1970-02-13,0.07739697074204666,-0.01921418405976341,-0.20918012632589886,0.301396624683071,0.04218402997434176,0.21694993239162508
1970-02-16,0.05699857537179512,-0.040857280130732594,0.015001394226113402,-0.1857475149112086,0.14642690115308463,-0.10442534995671686
1970-02-17,0.019008316072014163,-0.005609769678441448,-0.02235543534840406,-0.08255367347279276,0.11535432166683611,-0.14292156932730504
1970-02-18,0.004107713576781323,0.1076870765742243,-0.029489679785833306,0.21432865382675553,-0.28070726542422203,0.07480113285770404
1970-02-19,-0.03978030161342044,0.0457291279276963,-0.020811172867016454,0.07850088030430813,-0.13829398421404518,-0.06968999230984071
1970-02-20,-0.01689466964335974,-0.011795186453773126,0.02437020901073292,-0.01124377530149298,-0.03890900896688685,0.040318135351469005
1970-02-23,-0.023139695884763625,-0.005041244169459549,0.005074568832732629,0.016926421097501775,-0.043459890753120775,0.023486808752262323
1970-02-24,-0.013979561171015713,0.011219050639018145,0.028348871826480007,-0.0075636154010968164,-0.014626038472615205,0.010046548369715757
1970-02-25,-0.087132820333834,0.1624914488342576,-0.0966855778629221,0.3178425751835572,-0.38889261803935393,-0.14570232050621534
1970-02-26,0.07151705984311049,-0.030006952965650986,-0.11175298544761136,0.04477431436486975,0.14536367187830157,0.0001157232254796331
1970-02-27,-0.011512351008066891,-0.06677517144048459,-0.009781493984463381,-0.14898491627096055,0.07946832731751982,-0.0370843396528443
